t|uc_0|ud|m|x_0|x_1|x_2|h_0|h_1|h_2|h_3|h_4|yc_0|yc_1|yd
100380|3.5e-05|no|Nom1|2.4760990530806146|2.244139884909325|2.362228587418413|0.6951087123967107|0.6335158479766392|0.6338823321286607|0.0033404083802595075|0.0033404083802595075|2.476180827494664|109.3940081255946|no
100440|3.5e-05|no|Nom1|2.4688669526977836|2.2373200768349646|2.3560104918631635|0.6952915922998153|0.6337356725138972|0.6341019368413816|0.003342401697449482|0.003342401697449482|2.463160715911818|108.66106254222906|no
100500|3.5e-05|no|Nom1|2.4681952498641646|2.234251571303619|2.3471508952377453|0.6954743625078899|0.6339553651959935|0.6343214098307959|0.0033443950106527565|0.0033443950106527565|2.4749847098462574|108.32169533529581|no
100560|3.5e-05|no|Nom1|2.459932701130826|2.230465449436504|2.3438920833550614|0.6956570230867317|0.6341749261020173|0.6345407511759136|0.003346388319869442|0.003346388319869442|2.4833917367892773|108.54798927865258|no
100620|3.5e-05|no|Nom1|2.4599335021172406|2.223945460054649|2.339958013680082|0.6958395741020986|0.6343943553110105|0.6347599609556979|0.003348381625099539|0.003348381625099539|2.4584329501220235|108.16008382155262|no
100680|3.5e-05|no|Nom1|2.4545604341848675|2.2206290357165717|2.3373505620453847|0.6960220156197089|0.6346136529019678|0.6349790392490641|0.003350374926342936|0.003350374926342936|2.4778868405428347|108.18125455632342|no
100740|3.5e-05|no|Nom1|2.45090007557662|2.2172614681010234|2.3356023144333786|0.6962043477052415|0.6348328189538361|0.6351979861348805|0.0033523682235997443|0.0033523682235997443|2.4658795279420618|107.86987701421495|no
100800|3.5e-05|no|Nom1|2.4527765630335856|2.213409397927337|2.330866362072427|0.696386570424336|0.6350518535455154|0.6354168016919681|0.0033543615168699636|0.0033543615168699636|2.4527247403393937|108.00018788545272|no
100860|3.5e-05|no|Nom1|2.450041855689338|2.210150835531222|2.3310021108760064|0.6965686838425925|0.635270756755858|0.6356354859991002|0.003356354806153594|0.003356354806153594|2.4764291794852005|107.5976433172233|no
100920|3.5e-05|no|Nom1|2.44752042811961|2.207274296369664|2.3256519240750566|0.6967506880255719|0.6354895286636689|0.6358540391350034|0.003358348091450747|0.003358348091450747|2.451752166094409|107.22165231847377|no
100980|3.5e-05|no|Nom1|2.4427000675935147|2.204022170620988|2.3214195402853344|0.6969325830387958|0.6357081693477064|0.6360724611783568|0.0033603413727613107|0.0033603413727613107|2.425585176457473|107.13547306846681|no
101040|3.5e-05|no|Nom1|2.434352697372395|2.2026130689834744|2.3205881428547066|0.6971143689477464|0.6359266788866809|0.6362907522077922|0.0033623346500852858|0.0033623346500852858|2.4406745789981246|107.1127312396356|no
