t|uc_0|ud|m|x_0|x_1|x_2|h_0|h_1|h_2|h_3|h_4|yc_0|yc_1|yd
258540|3.5e-05|no|Def3|2.5050122848797307|-0.0021147457288092273|0.008597486556181038|1.0|0.9246340727998346|0.9247094387270369|0.008580971484927535|0.008580971484927535|2.5084535954506846|38.94215451117374|no
258600|3.5e-05|no|Def3|2.505681284145279|-0.0012445925493789847|0.015811460531984244|1.0|0.9246792787930005|0.9247545995142098|0.008582954321001757|0.008582954321001757|2.5047252162310873|39.11955500281693|no
258660|3.5e-05|no|Def3|2.5017930022147037|0.0011443550429448637|0.011687703627857605|1.0|0.924724457670706|0.9247997332130377|0.008584937153110261|0.008584937153110261|2.50327739447564|38.46416180238012|no
258720|3.5e-05|no|Def3|2.503783014968433|0.0016399717642331221|0.010805812747127134|1.0|0.9247696094492155|0.9248448398397686|0.00858691998125316|0.00858691998125316|2.524079771440026|38.677357617174955|no
258780|3.5e-05|no|Def3|2.502620111068384|-0.0002547232140115107|0.008413867141445609|1.0|0.9248147341447835|0.9248899194106411|0.008588902805430343|0.008588902805430343|2.5226391634027094|38.44525593278115|no
258840|3.5e-05|no|Def3|2.5014775303654098|-0.0008566359644309744|0.012746468330513485|1.0|0.9248598317736552|0.9249349719418838|0.00859088562564192|0.00859088562564192|2.5075482630134314|38.9063819623911|no
258900|3.5e-05|no|Def3|2.499013080973331|0.002795757405037546|0.006892921730794422|1.0|0.9249049023520654|0.9249799974497156|0.008592868441887891|0.008592868441887891|2.509477611796792|38.33076779850906|no
258960|3.5e-05|no|Def3|2.497142120751554|0.004354387341327879|0.009084478418436164|1.0|0.9249499458962396|0.9250249959503456|0.008594851254168145|0.008594851254168145|2.50451407150789|38.65639432760953|no
259020|3.5e-05|no|Def3|2.497215336300884|0.000351861149236878|0.011238739738918023|1.0|0.9249949624223934|0.9250699674599734|0.008596834062482794|0.008596834062482794|2.5179813623770393|38.399501894252566|no
259080|3.5e-05|no|Def3|2.4952132861211638|-0.004073509830244522|0.010505316773012226|1.0|0.925039951946733|0.9251149119947887|0.008598816866831838|0.008598816866831838|2.473770100516498|38.85719186427069|no
259140|3.5e-05|no|Def3|2.4954082043644936|0.001043584169935543|0.012324994758376558|1.0|0.9250849144854545|0.9251598295709714|0.008600799667215275|0.008600799667215275|2.4903076666144313|38.1537540793725|no
259200|3.5e-05|no|Def3|2.4966496531477866|-0.0012829862618992224|0.013009736794539954|1.0|0.9251298500547444|0.925204720204692|0.008602782463633107|0.008602782463633107|2.5037432972318396|38.54752789914827|no
259260|3.5e-05|no|Def3|2.4975736937795325|0.001797706725185573|0.010496841747238802|1.0|0.9251747586707795|0.9252495839121111|0.008604765256085334|0.008604765256085334|2.5068841725979127|38.52630396333463|no
259320|3.5e-05|no|Def3|2.4939556304182915|-0.0010784500494608975|0.011363530462789427|1.0|0.9252196403497268|0.9252944207093795|0.008606748044572066|0.008606748044572066|2.4984687418903633|38.39674210223465|no
259380|3.5e-05|no|Def3|2.4975393104856747|0.0015485839360201666|0.010029116898340452|1.0|0.9252644951077439|0.9253392306126386|0.008608730829093192|0.008608730829093192|2.5065458634549223|39.03705273871588|no
259440|3.5e-05|no|Def3|2.4965042745898858|-0.0008416084378877431|0.011800822095105459|1.0|0.9253093229609785|0.9253840136380199|0.008610713609648712|0.008610713609648712|2.4963262298820146|38.50855649894777|no
259500|3.5e-05|no|Def3|2.49682386005046|0.005505405839956899|0.011160616166717183|1.0|0.9253541239255685|0.9254287698016453|0.008612696386238738|0.008612696386238738|2.479591888702329|38.63144734652308|no
259560|3.5e-05|no|Def3|2.4955800558212275|-0.000975125784873212|0.014987328211454001|1.0|0.9253988980176423|0.9254734991196271|0.008614679158863159|0.008614679158863159|2.5381313597985056|38.67574406482709|no
259620|3.5e-05|no|Def3|2.495643974700739|4.616047383397245e-05|0.012727560789131046|1.0|0.9254436452533186|0.9255182016080676|0.008616661927522085|0.008616661927522085|2.5156143913803484|38.483785561469425|no
259680|3.5e-05|no|Def3|2.4979376752066638|0.002166778289564602|0.01297722489190743|1.0|0.9254883656487063|0.92556287728306|0.008618644692215516|0.008618644692215516|2.4937726774751012|38.76427635248197|no
259740|3.5e-05|no|Def3|2.496284897036069|0.0004619312773972421|0.01104372840440674|1.0|0.9255330592199049|0.9256075261606873|0.008620627452943341|0.008620627452943341|2.515280492785578|38.522872961381715|no
259800|3.5e-05|ferm v13|Def3|2.497023474341806|8.667784776470534e-05|0.011734987934413443|1.0|0.925577725983004|0.9256521482570234|0.008622610209705672|0.008622610209705672|2.4879556034004984|38.138089653794346|no
259860|3.5e-05|no|Def3|2.496638761612462|0.001950448419108504|0.012565395190195916|1.0|0.9256223659540838|0.9256967435881319|0.008624592962502509|0.008624592962502509|2.494529655312725|38.50660056657586|no
259920|3.5e-05|no|Def3|2.4970721622996517|-0.00012912424310175703|0.010886646322417549|1.0|0.9256669791492144|0.9257413121700674|0.00862657571133385|0.00862657571133385|2.4971168061764333|38.53887062445183|no
259980|3.5e-05|no|Def3|2.4945528367534293|-0.00418972952033484|0.01657044091767156|1.0|0.9257115655844567|0.9257858540188745|0.008628558456199698|0.008628558456199698|2.485957829655402|38.554055265015585|no
260040|3.5e-05|no|Def3|2.496540223319479|-0.0021093897992852375|0.014890990847089391|1.0|0.9257561252758618|0.9258303691505881|0.00863054119710005|0.00863054119710005|2.468368077519666|38.76639642999925|no
260100|3.5e-05|no|Def3|2.4927570973479423|0.004962156023025624|0.012823340356620362|1.0|0.9258006582394712|0.9258748575812339|0.008632523934034908|0.008632523934034908|2.459160406811246|38.54790796238539|no
260160|3.5e-05|no|Def3|2.4934289673362087|-0.0027587199316987006|0.011470140024795655|1.0|0.9258451644913168|0.9259193193268276|0.008634506667004271|0.008634506667004271|2.4599547760462674|38.14198858474226|no
260220|3.5e-05|no|Def3|2.4913470568424803|0.0023502512254885482|0.012538986118179147|1.0|0.9258896440474208|0.9259637544033755|0.008636489396008251|0.008636489396008251|2.481015829910199|38.573772738907145|no
260280|3.5e-05|no|Def3|2.49424741095774|-0.002212403441506443|0.011880590618339746|1.0|0.9259340969237959|0.9260081628268741|0.008638472121046736|0.008638472121046736|2.479925994578327|38.34314148926468|no
260340|3.5e-05|no|Def3|2.493268074521763|4.100038463714536e-05|0.008832599215345354|1.0|0.9259785231364451|0.9260525446133107|0.008640454842119727|0.008640454842119727|2.525377878672063|38.65971399934312|no
260400|3.5e-05|no|Def3|2.4940030026360125|0.0011930399054379348|0.011647326671030208|1.0|0.9260229227013618|0.9260968997786624|0.008642437559227334|0.008642437559227334|2.5086815567187792|39.02121201503909|no
260460|3.5e-05|no|Def3|2.4951959678303943|0.002172734927155588|0.00941202675162342|1.0|0.9260672956345298|0.9261412283388972|0.008644420272369557|0.008644420272369557|2.5096332939106505|38.80590615151237|no
260520|3.5e-05|no|Def3|2.493738918409801|-0.0014785803667874194|0.008729066286067358|1.0|0.9261116419519235|0.9261855303099735|0.008646402981546286|0.008646402981546286|2.509082194149676|38.435780544529614|no
260580|3.5e-05|no|Def3|2.494808981639313|-0.00357718892088236|0.008743976317556367|1.0|0.9261559616695075|0.92622980570784|0.008648385686757631|0.008648385686757631|2.4906871905290764|38.164331000748575|no
